Category,Material Type,Quality,Production Process,Certifications,Product Types/Sizes,Design & Pattern Types,Finishing Techniques,Color Shades,Embellishments
Jewelry,"Silver, Gold",Pure Silver,Handcrafted,GI Certified,Necklaces – Length: 16-20 inches,Traditional Kashmiri Motifs,Polished Finish,"Silver, Gold",Filigree Work
Jewelry,"Copper, Brass",22K Gold,Machine-Made,None,Earrings – Length: 1-3 inches,Floral Patterns,Matte Finish,Copper,Stone Inlays
Interior Decor,"Papier-Mâché, Wood",Handcrafted Papier-Mâché,Handcrafted,Handcrafted Badge,"Wall Art, Decorative Panels – e.g. 24x36 inches",Floral Patterns,Hand-Painted,Classic Neutrals,Mirror Work
Interior Decor,"Cotton, Silk",100% Cotton,Machine-Made,Eco-Friendly Certification,Bed Sheets – 90x108 inches,Geometric Designs,Embroidered,"White, Beige",Appliqué Work
Interior Decor - Room Divider Screens,"Wood, Papier-Mâché, Fabric, Metal","Handcrafted Wood, Eco-Friendly Materials, Premium Quality Finish","Handcrafted, Machine-Made, Traditional Techniques","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Folding Screens: Standard (72"" x 48""), Three-Panel (72"" x 60""); Decorative Screens: Wall-mounted (36"" x 48""), Freestanding (72"" x 24""); Custom Screens: Options Available","Floral Patterns, Geometric Designs, Traditional Kashmiri Motifs, Abstract Designs, Custom Designs","Hand-Painted, Varnished, Lacquered, Textured Finishes","Classic Neutrals (White, Beige, Gray); Bright (Red, Blue, Green, Yellow); Pastel (Blush Pink, Mint Green, Light Blue)","Mirror Work, Metallic Thread, Carvings"
Interior Decor - Office Accessories,"Wood, Papier-Mâché, Metal, Fabric, Leather","Handcrafted, Eco-Friendly Materials, Premium Quality Finish","Handcrafted, Machine-Made, Traditional Techniques","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Desk Organizers (12"" x 6"" x 4""), Pen Holders (4"" cube), Business Card Holders (4"" x 2"" x 1""), Letter Trays (12"" x 9"" x 2""), File Holders (10"" x 5"" x 10""), Cushion Covers (16"" x 16""), Coasters (4"" dia), Wrist Watch Stand (8"" x 4""), Cell Phone Stand (6"" x 4""), Tissue Box Covers (10"" x 5"" x 5""), Book Stand (12"" x 10""), Book Box (10"" x 7"" x 5""), Magazine Holders (10"" x 12"" x 5"")","Floral Patterns, Geometric Designs, Traditional Kashmiri Motifs, Abstract Designs, Custom Designs","Hand-Painted, Varnished, Textured Finishes","Classic Neutrals, White, Beige, Gray; Bright (Red, Blue, Green, Yellow); Pastel (Blush Pink, Mint Green, Light Blue)","Mirror Work, Metallic Thread, Carvings"
Interior Decor - Jeweled Wall Hangings,"Fabric (Silk, Cotton), Metal","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made, Traditional Techniques","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Jewel Embellished Panels (36"" x 24""), Embossed Wall Hangings (36"" x 36"")","Floral Patterns, Geometric Designs, Traditional Kashmiri Motifs, Abstract Designs, Custom Designs","Fringing, Backing, Binding, Lining, Mounting, Stiffening","Classic Neutrals, White, Beige, Gray; Bright (Red, Blue, Green, Yellow); Pastel (Blush Pink, Mint Green, Light Blue)","Mirror Work, Beaded Work, Zardozi Embroidery, Sequins, Precious/Semi-Precious Metals"
Interior Decor - Tapestry,"Wool, Silk, Cotton, Blended Fabrics","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made, Traditional Techniques","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Wall Tapestries (50"" x 70""), Tapestry Panels (36"" x 48""), Framed Tapestries (24"" x 36"")","Floral Patterns, Geometric Designs, Traditional Kashmiri Motifs, Abstract Designs, Custom Designs","Fringing, Backing, Binding, Lining, Mounting, Stiffening","Classic Neutrals, White, Beige, Gray; Bright (Red, Blue, Green, Yellow); Pastel (Blush Pink, Mint Green, Light Blue)","Mirror Work, Beaded Work, Zardozi Embroidery, Sequins"
Dining and Serving Ware - Copperware,"Copper, Brass, Bronze","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Copper Plates (10"" dia), Copper Bowls (8"" dia), Serving Trays (16"" x 12""), Kettles (6"" x 8""), Tea Sets (Tea Pot 8"" x 5""), Glasses (6"" height)","Traditional Kashmiri Motifs, Floral Patterns, Geometric Designs, Custom Designs","Polished Finish, Antiqued Finish, Hammered Finish","Natural Copper (shiny), Antique Copper (dull)","Engraved Patterns, Inlaid Work, Etched Designs"
Dining and Serving Ware - Silverware,"Silver, Silver-Plated, Sterling Silver","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Silver Plates (10"" dia), Silver Bowls (8"" dia), Serving Trays (16"" x 12""), Kettles (6"" x 8""), Tea Sets (Tea Pot 8"" x 5""), Glasses (6"" height)","Traditional Kashmiri Motifs, Floral Patterns, Geometric Designs, Custom Designs","Polished Finish, Antiqued Finish, Hammered Finish","Natural Silver (shiny), Antique Silver (dull)","Engraved Patterns, Inlaid Work, Etched Designs"
Dining and Serving Ware - Walnutware,"Walnut Wood, Lacquer Finish, Natural Stain","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Various items: Serving Plates, Bowls, Trays, Coasters, Utensils, Cheese Boards, Mortar & Pestle, Decorative Bowls, Trays with Handles, Snack Bowls, Cutlery, Candle Holders, Cutting Boards, Fruit Bowls, Serving Bowls, Cups","Intricate Carvings, Floral Motifs, Geometric Designs, Custom Designs","Natural Finish, Lacquered Finish, Stained Finish","Natural Walnut, Dark Stain, Light Stain","Inlaid Work, Engraved Designs, Lacquer Detailing"
Dining and Serving Ware - Papermachieware,"Paper Mache, Lacquer Finish, Natural Paints","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Papier-Mâché Plates (10"" dia), Bowls (8"" dia), Serving Trays (16""x12""), Tea Sets (6""x4""), Cups (4"" height), Snack Bowls (6"" dia), Coasters (4""x4""), Serving Spoons (10"" length)","Traditional Kashmiri Motifs, Floral Patterns, Geometric Designs, Custom Designs","Lacquer Finish, Natural Varnish, Decorative Painting","Bright Colors, Earthy Tones, Pastel Shades","Hand-Painted Designs, Inlaid Work"
Dining and Serving Ware - Enamelware,"Enamel-Coated Silver, Enamel-Coated Bronze, Enamel-Coated Steel, Enamel-Coated Iron","Handcrafted, Premium Quality Finish, Eco-Friendly Materials","Handcrafted, Machine-Made","Handcrafted Badge, Eco-Friendly Certification, Authenticity Certificate","Enamel Plates (10"" dia), Bowls (8"" dia), Serving Trays (16""x12""), Tea Sets (6""x4""), Mugs (4"" height), Serving Spoons (10"" length), Kettles (7""x5""), Dish Covers (10"" dia), Tumblers (4"" height), Water Bottles (10"" height)","Traditional Kashmiri Motifs, Floral Patterns, Geometric Designs, Custom Designs","Glossy Finish, Matte Finish, Decorative Painting","Bright Colors, Traditional Colors, Pastel Shades","Hand-Painted Designs, Inlaid Work, Decorative Carvings"
Rugs and Carpets - Bedroom,"Wool, Silk, Cotton, Blends (Wool-Silk)",Standard,"Hand-Knotted, Hand-Tufted, Machine-Made","GI Tag, Eco-Friendly Certification","Dimensions: 6'x9', 8'x10', 7'x10'","Floral Patterns, Geometric Designs, Traditional Kashmiri Motifs",,"Ivory, Beige, Gray, Black, Navy Blue, Brown, Blush Pink, Mint Green, Lavender, Rust, Terracotta, Olive Green, Scarlet Red, Royal Blue, Deep Purple, Pearl White, Antique White, Cream",
Rugs and Carpets - Living Room,"Wool, Silk, Cotton, Blends (Wool-Silk)",Standard,"Hand-Knotted, Hand-Tufted, Machine-Made","GI Tag, Eco-Friendly Certification","Dimensions: 8'x10', 9'x12', 6'x9'","Floral Patterns, Geometric Designs, Abstract Designs",,"Emerald Green, Ruby Red, Scarlet Red, Turquoise, Beige, Gray, Charcoal, Mahogany, Soft Peach, Light Lavender, Sky Blue",
Rugs and Carpets - Dining Room,"Wool, Silk, Cotton, Blends (Wool-Silk)",Standard,"Hand-Knotted, Hand-Tufted, Machine-Made","GI Tag, Eco-Friendly Certification","Dimensions: 8'x10', 9'x12', 6'x9'","Floral Patterns, Traditional Kashmiri Motifs",,"Olive Green, Mustard Yellow, Coral, Aqua, Rust, Clay, Sage",
Rugs and Carpets - Kitchen,"Wool, Blends (Wool-Cotton)",Standard,"Hand-Tufted, Machine-Made","GI Tag, Eco-Friendly Certification","Dimensions: 2'x3', 2'x6', 3'x5'","Geometric Designs, Abstract Designs",,"Coral, Sunshine Yellow, Soft Pink, Light Mint, Red, Orange, Sand, Olive",
Rugs and Carpets - Home Library,"Wool, Silk, Blends (Wool-Silk)",Standard,Hand-Knotted,"GI Tag, Eco-Friendly Certification","Dimensions: 5'x7', 6'x9', 4'x6'","Traditional Kashmiri Motifs, Floral Patterns",,"Snow White, Antique White, Beige, Tan, Deep Blue, Emerald, Gray, Black, Light Pink, Baby Blue",
Rugs and Carpets - Passageway & Stairs,"Wool, Blends (Wool-Cotton)",Standard,Hand-Tufted,"GI Tag, Eco-Friendly Certification","Dimensions: 2'x8', 3'x10', 2'x6'",Geometric Designs,,"Gray, Beige, Olive, Clay, Charcoal",
Rugs and Carpets - Grand Foyer,"Wool, Silk",Standard,Hand-Knotted,"GI Tag, Eco-Friendly Certification","Dimensions: 12'x18', 10'x14', 9'x12'",Floral Patterns,,"Amethyst Purple, Sapphire Blue, Cream, Beige, Brown, Olive",
Rugs and Carpets - Parlor Room,"Wool, Cotton",Standard,Hand-Knotted,"GI Tag, Eco-Friendly Certification","Dimensions: 4'x4', 5'x7', 6'x9'",Abstract Designs,,"Ruby Red, Turquoise, Sand, Cream, Dark Hues",
Rugs and Carpets - Cigar Room,Wool,Standard,Hand-Knotted,"GI Tag, Eco-Friendly Certification","Dimensions: 5'x7', 4'x6', 3'x5'",Geometric Designs,,"Wine/Burgundy, Forest Green, Charcoal, Espresso, Dark Shades",
Rugs and Carpets - Namda Embroidery Rugs,"Wool, Blends (Wool-Cotton)",Standard,Handcrafted (Flat-woven),"GI Tag, Eco-Friendly Certification","Dimensions: 4'x6', 5'x7', 3'x5'",Traditional Kashmiri Motifs,,"Earthy Tones, Jewel Tones, Deep Hues",
Walnut Wood Carving Furniture,Kashmiri Walnut Wood,Grade A / B / C (varies),"Hand-Carved, Machine-Made","GI Tag, Eco-Friendly Certification","Bedroom: King/Queen/Full/Twin Beds; Living Room: Coffee Table, Side Table, Media Cabinet, Display Cabinet, Ottoman, Sofa Table; Dining: Dining Table, Dining Set, Buffet Table; Kitchen: Storage Bench, Wine Rack; Home Library: Writing Desk, Hallway Table; Passageway/Stairs: Console Table, End Table; Grand Foyer: Pedestal Table; Parlor: Armchair; Cigar Room: Bar Stool","Traditional Kashmiri Motifs, Geometric Patterns, Contemporary Designs","Matte Finish, Glossy Finish, Semi-Gloss Finish, Antique/Cherry/Natural Stain","Natural Shades, Dark Walnut, Light Walnut, Medium Walnut",
Crewel Furniture,Crewel-embroidered Fabric,Standard,Hand embroidery techniques,Handcrafted Artisanship Certification,"Sofa (6'), Armchair (3'), Footstool (2'x1.5'), Bench (4'), Ottoman (2'x2'), Table Runner (6')","Floral Motifs, Nature-Inspired Designs, Geometric Patterns","Hand-stitched edges, Lining/backing finishes","Vibrant Wool Colors, Earthy Tones",
Wicker Furniture,"Rattan, Reed, Bamboo",Standard,"Hand-weaving techniques, Natural material treatment",Eco-Friendly Certification,"Lounge Chair, Coffee Table, Storage Basket, Side Table, Dining Chair, Ottoman, Serving Tray, Bench, Planter, Bar Stool","Traditional Weaves, Contemporary Styles","Natural Sealing, Protective Coatings","Natural Brown, Painted Finishes, Whitewash, Pastel Shades",
Room Dividers,"Wood, Fabric, Wicker",Standard,"Handcrafted joinery, Assembly techniques","Handcrafted Quality Certification, Eco-Friendly Certification","Wooden Carved (6'x3'), Fabric (5'x3'), Portable (4'x6'), Wicker (5'x3'), Folding (6'x2'), Decorative Screen (5'x5')","Carved Designs, Fabric Panels, Geometric Shapes, Floral Motifs","Staining, Painting, Natural Sealing","Natural Wood Tones, Bold Fabric Colors, Soft Pastels, Dark Stains",
Ceiling Treatment - Khatamband,"Kashmiri Walnut Wood, Deodar Cedar, Fir, Pine, Local Softwoods",Standard,"Handcrafted Techniques, Joinery Methods",Cultural Heritage Certification,"Ceiling Panel (4'x4'), Decorative Strip (3' long), Ceiling Tile (2'x2'), Cornice (5' long), Center Medallion (3' dia), Wall Panel (4'x2'), Column Wrap (8' height), Light Fixture Cover (2'x2'), Window Frame (3'x5'), Ceiling Beam Cover (6' long), Decorative Archway (5'x3'), Ceiling Medallion (2.5' dia)","Geometric Patterns ('Kaat'), Floral Motifs ('Gulzar'), Traditional Kashmiri Motifs ('Dastakari'), Abstract ('Nazar'), Inlaid ('Kashida'), Border ('Chowk'), 3D Effects ('Udaak'), Regional ('Rangrez')","Natural Finish, Lacquer Finish","Natural Wood Tones, Stained Finishes",Papier-Mâché embellishments
